corp_code,statement_type,prev_year,next_year,revenue,operating_income,prev_deriv,next_deriv
00104999,separate,2007,2008,32378386094,365713742,native,native
00105040,consolidated,2007,2008,31268374063,1415385064,native,native
00105040,consolidated,2012,2013,14277920447,-357732265,native,native
00105101,consolidated,2012,2013,597249865671,5212969200,native,native
00105138,consolidated,2016,2017,80449711087,3297562136,native,native
00105156,consolidated,2013,2014,74236530063,3467923923,native,native
00105156,separate,2007,2008,42178266455,2372198268,native,native
00105280,consolidated,2001,2002,2123621228000,117091008000,native,native
00105280,consolidated,2012,2013,416397569000,16228791000,native,native
00105280,separate,2007,2008,109398899000,4266588000,native,native
00105299,consolidated,2012,2013,161479168179,5784960643,native,native
00105299,separate,2006,2007,52800764953,1703944093,native,native
00105466,consolidated,2012,2013,221117171055,5338585277,native,native
00105466,separate,2004,2005,112005850355,9765053865,native,native
00105466,separate,2007,2008,140238070499,7638206241,native,native
00105475,consolidated,2012,2013,62384030232,1745673857,native,native
00105606,consolidated,2015,2016,50407590637,3748518362,native,native
00105606,separate,2015,2016,47249163963,4515484932,native,native
00105873,separate,2006,2007,2606363000000,35265000000,native,native
00105952,consolidated,2005,2006,3441641000000,174012000000,native,native
